UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	7
8	0
0	5
0	19
38	0
0	166
0	84
0	0
0	18
0	0
0	0
13	88
0	0
109	0
0	168
0	3
0	175
0	7
4	30
44	202
0	1
67	8
7	65
1	0
16	0
0	2
71	1
252	0
210	1
40	0
44	7
4	0
456	4
6	49
4	0
0	112
0	0
104	2
16	16
0	0
0	31
0	1
33	0
5	1
0	49
0	83
132	29
113	3
0	1
254	0
0	29
34	1
73	1
21	0
47	0
40	0
90	0
53	0
54	0
28	1
0	168
0	202
0	1
35	31
0	8
0	0
67	112
11	0
0	0
13	0
0	0
29	0
36	0
165	1
25	0
64	1
59	0
61	1
59	0
52	0
67	0
76	0
53	0
19	0
31	0
11	0
42	3
40	1
46	0
15	0
28	0
20	0
3	0
59	0
57	0
0	0
26	0
37	0
11	0
18	0
3	0
38	0
6	0
37	0
5	0
1	0
13	0
0	30
1	5
87	2
17	29
0	19
0	0
16	7
0	0
17	88
22	1
2	84
8	3
9	83
7	0
0	0
0	101
122	1
43	0
21	5
62	4
66	4
21	2
0	0
0	0
3	65
50	166
98	175
0	16
2	18
0	0
0	4315
482	9324
935	51
7118	7
1151	4291
8	9303
733	112
168	468
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
220	1372
0	313
0	18
13	3553
133	1119
2	1317
0	878
1	35
0	903
1501	2
394	8118
78	2996
239	295
0	314
3166	8118
0	335
1302	255
411	248
5	0
58	703
108	648
0	18
0	18
21	52
109	820
2	904
3706	9
7	10
0	1
33	4
152	3
0	185
0	0
6	0
18	0
33	0
2	0
0	0
31	43
78	0
1	0
18	0
0	43
4	3
13	3
83	0
6	145
0	62
99	23
0	106
0	0
1	5
48	17
0	1
9	1
2	88
50	14
0	11
0	5
0	0
0	54
1	97
0	109
0	7
73	19
0	0
0	13
0	27
0	17
0	6
82	8
21	104
10	0
42	0
0	0
0	0
1	21
23	28
3	72
3	1
50	2
7	0
40	95
36	3
0	90
35	0
0	47
234	1
0	10
139	6
0	0
216	6
0	0
9	0
200	1
56	3
0	0
47	2
50	2
195	12
8	81
280	103
53	2
67	2
431	9
1	7
19	0
75	0
0	148
13	57
1	15
0	89
8	11
0	320
0	9
0	9
0	145
0	0
0	106
0	0
0	54
0	43
74	100
22	11
0	7
0	88
7	9
0	67
