UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
2	11
4	0
0	0
0	11
4	0
0	76
0	124
0	0
0	14
0	0
0	0
6	82
1	0
48	0
0	123
0	6
0	147
23	5
2	21
16	39
0	0
41	3
0	35
0	0
14	0
1	10
10	0
29	0
37	0
28	0
18	5
0	0
119	1
2	52
3	0
0	28
0	0
63	0
6	17
0	0
0	32
0	12
35	0
3	1
0	51
3	33
76	34
41	0
0	1
87	0
1	27
18	0
43	0
4	0
7	0
16	0
22	0
30	0
23	0
4	0
4	123
0	39
0	1
16	32
0	3
0	0
19	28
10	0
0	0
13	0
0	0
4	0
12	0
36	0
13	0
48	0
33	0
37	0
32	0
30	0
39	1
20	0
29	0
7	0
43	0
1	0
29	0
15	0
24	0
14	0
19	0
7	0
15	0
18	0
18	0
0	0
30	0
46	0
4	0
10	0
2	0
13	0
13	0
25	0
0	0
0	0
9	0
0	21
2	0
100	10
2	27
2	11
0	0
6	11
0	0
7	82
30	12
0	124
7	6
0	33
3	0
3	0
0	48
63	0
17	0
40	0
13	0
18	0
20	0
0	0
0	0
1	35
22	76
68	147
3	17
0	14
0	0
117	3756
398	5498
1861	149
4031	1
424	3734
6	5488
452	66
69	331
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1084	4156
0	1195
0	31
121	9449
653	4207
1	4864
0	2974
92	312
0	3445
932	0
858	10622
178	7385
382	801
22	1195
3623	10623
0	1529
3387	382
1386	377
28	0
111	1260
0	1162
0	30
0	31
128	314
210	2931
8	3445
7822	6
6	8
0	6
0	1
1011	33
0	268
0	0
7	0
78	2
16	0
5	1
0	0
10	22
171	1
66	0
62	0
0	34
25	0
0	19
118	0
2	132
4	230
132	32
2	203
0	0
2	9
57	26
0	0
47	0
4	248
8	10
0	35
1	16
0	0
2	177
1	158
11	311
0	24
242	65
0	0
0	99
1	62
0	48
0	17
219	2
18	105
13	0
127	0
0	0
0	0
0	45
230	97
10	170
2	0
144	26
0	0
198	141
78	3
0	117
52	0
1	85
421	2
1	36
114	3
6	0
744	14
0	0
18	0
530	3
33	1
4	0
50	0
78	2
535	20
37	113
429	179
115	7
83	0
1071	22
3	6
80	3
113	0
0	423
73	137
16	45
0	225
2	9
2	587
2	2
0	2
0	132
0	0
0	203
0	0
0	177
0	34
123	128
27	35
0	24
