"B052"	"B083"	"B087"	"B097"	"B100"	"B117"	"B118"	"B140"	"B141"	"B143"	"B146"	"B147"	"B160"	"B178"	"B180"	"B182"	"B189"	"B200"	"B201"	"B207"	"B209"	"B213"	"B244"	"B284"	"B339"	"B340"	"B383"	"B412"	"B429"	"B430"	"B476"	"B586"	"B621"	"E053"	"E054"	"E375"	"G016"	"G026"	"G028"	"G157"	"G225"	"G282"	"G283"	"G756"	"H093"	"H524"	"H754"
3.68	6.18	2.72	3.29	5.69	3.1	3.98	4.79	4.37	2.77	6.47	4.74	5.17	5.25	5.57	4.25	3.53	6.19	5.46	5.25	5.06	2.62	3.69	4.9	3.75	5.58	6.32	4.13	2.4	4.11	2.96	3.25	1.46	2.82	3.23	2.95	4.72	4.48	3.24	5.3	5.63	4.77	3.77	4.65	6.08	3.49	1.91
-0.368	-0.798	0.352	0.206	2.07	-0.46	-0.179	-0.48	-0.435	0.149	0.0251	-0.26	-0.0938	-0.415	0.97	0.143	0.172	-0.0951	-0.32	0.627	-0.0553	-0.435	-0.159	-0.495	-0.437	1.82	0.439	-0.349	-1.07	-0.402	-0.0788	-0.188	-0.236	-0.257	-0.212	-0.156	-0.179	-1.39	-1.09	-0.135	-0.224	-0.23	-0.245	-0.406	0.434	1.54	-0.289
3.57	8.14	12.2	3.69	5.14	3.4	9.48	3.65	5.33	9.47	7.5	5.29	10.2	13.2	7.95	11.7	7.27	8.95	8.96	6.94	9.16	6.69	6.64	5.92	8.96	5.39	3.99	9.4	5.36	8.11	11.9	4.57	5.71	9.24	5.38	6.03	6.49	16.2	6.72	4.62	8.66	6.68	4.64	5.28	6.14	6.39	3.73
-1.62	0.12	-2.88	-0.94	-1.03	-1.4	-1.06	-1.28	0.305	-2.8	-1.73	-2.32	-0.796	-1.89	-1.15	-1.48	-1.55	-2.06	-2.36	-1.04	-1.84	-2.85	-2.09	-0.897	-3.8	-0.934	-2.88	-5.1	-2.45	-3.39	3.25	-0.862	-1.25	1.45	-1.62	-2.96	-0.861	-1.48	-1.24	-2.41	-2.15	-1.19	-1.85	0.595	1.09	-1.02	-1.22
1.72	-0.0909	-1.58	-0.895	-1.94	0.597	1.22	1.73	-1.13	-3.04	-0.885	0.35	-0.99	-0.284	-1.84	-0.0724	-1.56	-0.603	-0.282	-1.87	-0.498	1.29	0.371	-0.372	1.11	-0.324	-0.499	-0.203	0.635	2.4	-6.1	-1.41	-1.54	-1.65	1.87	1.44	0.607	1.02	0.76	-3.21	0.836	1.32	1.9	0.247	-1.52	-0.173	-0.13
1.6	2.27	1.94	2.08	2.15	3.25	1.22	1.64	3.22	1.48	1.41	2.29	4.34	2.37	1.53	1.36	0.887	1.04	1.71	3.41	0.564	1.45	1.66	2.1	1.64	1.07	2.45	1.79	2.44	2.08	2.24	3.07	2.58	1.81	0.911	2.23	1.38	1.96	1.25	3.21	1.13	2.17	1.79	5.15	1.72	1.26	1.85
8.06	7.43	11.8	6.61	11.2	10.6	5.61	6.69	8.56	12.4	8.92	9.12	3.86	9.57	7.16	4.65	8.99	7.66	8.01	4.54	7.45	7.47	6.06	5.35	10.6	5.94	9.58	15.6	11.2	11.8	10.6	7.87	6.54	6.46	7.67	8.85	5.25	6.08	6.59	13	7.16	9.39	9.95	7.9	5.72	6.33	6.29
-0.152	0.165	0.826	-0.0525	-0.257	0.925	0.328	0.364	-0.234	-0.283	-0.412	-0.165	-0.242	-0.531	-0.247	-0.349	0.967	-0.142	0.509	-0.32	-0.222	-0.162	-0.0849	-0.336	-0.286	-0.0893	-0.0433	-0.322	-0.119	-0.18	-0.672	-0.237	0.325	-0.161	-0.2	-0.407	-0.155	0.528	0.0314	0.358	-0.334	-0.302	0.154	-0.208	0.467	-0.366	-0.055
0.421	1.22	0.65	0.121	0.109	0.67	0.129	0.428	0.762	0.252	0.101	0.271	0.178	-0.0853	0.513	0.0219	-0.0289	0.0178	0.261	-0.0229	0.0398	0.177	0.235	0.0892	-0.0466	-0.00253	0.0549	0.235	1.18	0.516	-0.0328	0.0375	0.103	0.356	0.205	0.227	0.168	1.62	1.93	-0.0158	0.168	0.0149	0.302	0.526	0.281	0.25	0.519
29.1	27.2	18	22.8	19.6	22.8	24.9	44.2	37.9	24.7	25.9	36.4	15.7	18.7	28.2	30.7	28.9	34.7	24.1	21.1	20.7	26.9	45.6	26.1	26.8	22.5	20.5	29.1	39	26.2	23.3	24.4	26.2	27.6	35.4	34.8	31.7	22	27.1	40.9	20.9	29.8	23.1	22.2	21.5	39.6	34.4
